driver_gene	paralog_gene	cancer_type	pcs	delta_expression	necessity	dependency_dd	composite_score	novelty	q_value	mutation_frequency	n_mut	n_wt	is_known_paralog_sl
KRAS	RASL10A	Ovarian	0.0087939505084164	0.0487055781592558	0.1805532516144716	-0.0206560819849522	0.0388203509889634	Novel	0.9831295613656932	0.1454545454545454	8	47	False
KRAS	RALA	Endometrial	0.0	-0.0454939340670632	0.1341769416820686	0.0045133811413806	0.0383026167963163	Novel	0.8770682679216572	0.2142857142857142	6	22	False
PTEN	TNS1	Ovarian	0.0	-0.3988536509778557	-0.0462761245258636	-0.0402957772096072	0.0380978297632608	Novel	0.6653648260198064	0.109090909090909	6	49	False
KRAS	RHEBL1	Ovarian	0.0047523848048662	0.1149520807087134	0.0413423121666554	-0.0256406848594454	0.0377155398416351	Novel	0.9831295613656932	0.1454545454545454	8	47	False
KRAS	DIRAS3	Ovarian	0.0	-0.0115434045655373	0.1555173489201315	0.031788290090727	0.0365493494424363	Novel	0.9831295613656932	0.1454545454545454	8	47	False
KRAS	RAP2B	Ovarian	0.0	-0.0130254710241444	-0.0515358154693063	-0.0308906814795677	0.0361326170225908	Novel	0.9831295613656932	0.1454545454545454	8	47	False
KRAS	ERAS	Ovarian	0.0	-0.0409515480151373	-0.098701621133102	-0.0159574793903749	0.0317183713771961	Novel	0.7907982747182752	0.1454545454545454	8	47	False
KRAS	RASL11A	Ovarian	0.0	-0.1130752714230014	0.0566179076133969	-0.0133927392115321	0.0280088537999345	Novel	0.9831295613656932	0.1454545454545454	8	47	False
KRAS	RERGL	Ovarian	0.0	-0.1151097731607432	-0.0964926529335355	0.0038852102104396	0.0278861559180611	Novel	0.6784698046259167	0.1454545454545454	8	47	False
KRAS	RASL11B	Ovarian	0.0	-0.3156345960328288	0.024617490699509	0.0116728937224767	0.0272103817671308	Novel	0.9831295613656932	0.1454545454545454	8	47	False
KRAS	NKIRAS1	Ovarian	0.0	0.1011068207735133	-0.0463266812316245	-0.0106407392019488	0.0267311837674162	Novel	0.9831295613656932	0.1454545454545454	8	47	False
KRAS	MRAS	Ovarian	0.0	-0.5252390017945374	-0.015696664219899	-0.0091640506829231	0.0260456021316776	Novel	0.9831295613656932	0.1454545454545454	8	47	False
KRAS	RAP2A	Ovarian	0.0	-0.0048625210874075	0.1526784498066791	0.0073757976108595	0.0252153705354647	Novel	0.9831295613656932	0.1454545454545454	8	47	False
KRAS	DIRAS1	Ovarian	0.0	-0.0178788164545851	-0.0190173875781441	-0.0057394768615695	0.0244556765028792	Novel	0.9831295613656932	0.1454545454545454	8	47	False
KRAS	RERG	Ovarian	0.0	-0.1013953254416993	0.0863229264173389	-0.0043973152484733	0.02383255162429	Novel	0.9831295613656932	0.1454545454545454	8	47	False
NF1	RASA2	Ovarian	0.0	-0.1418075463515635	-0.0294243930777422	-0.0282009318619798	0.0232464494260189	Novel	0.8129437433627007	0.0727272727272727	4	51	False
PTEN	TNS2	Ovarian	0.0	-0.6444557720306472	0.2387654694919845	-0.0038338930677206	0.0215353085962936	Novel	0.6446675069023333	0.109090909090909	6	49	False
