component,delta
pcs_minus_dd,-0.019499999999999962
pcs_minus_dd,0.14338235294117652
pcs_minus_dd,0.317208564631245
pcs_minus_dd,0.3174019607843137
pcs_minus_dd,0.1705963938973648
pcs_minus_dd,0.17600000000000005
pcs_minus_dd,0.08894230769230771
pcs_minus_dd,-0.052696078431372584
pcs_minus_dd,0.05600000000000005
pcs_minus_dd,0.22799999999999998
pcs_minus_dd,0.1399999999999999
pcs_minus_dd,0.32291666666666663
pcs_minus_dd,0.11458333333333337
pcs_minus_dd,-0.125
pcs_minus_dd,0.2585784313725491
pcs_minus_dd,-0.15428571428571436
pcs_minus_dd,0.007965686274509776
pcs_minus_dd,0.10124826629680994
pcs_minus_dd,-0.0554785020804438
pcs_minus_dd,0.2123397435897436
pcs_minus_dd,0.14663461538461542
pcs_minus_dd,0.0
pcs_minus_dd,0.24754901960784315
pcs_minus_dd,-0.0032051282051283048
pcs_minus_dd,0.2749999999999999
pcs_minus_dd,0.19117647058823528
pcs_minus_dd,0.04006410256410253
pcs_minus_dd,0.5324532453245325
pcs_minus_dd,0.09399999999999997
pcs_minus_dd,0.21120293847566574
pcs_minus_dd,0.033333333333333326
pcs_minus_dd,-0.10897435897435903
pcs_minus_dd,0.25142857142857145
pcs_minus_dd,-0.04807692307692302
pcs_minus_dd,0.2549019607843137
pcs_minus_dd,-0.17688679245283023
pcs_minus_dd,0.1836547291092745
pcs_minus_dd,0.33699999999999997
pcs_minus_dd,0.29333333333333333
pcs_minus_dd,0.2555147058823529
pcs_minus_dd,0.3883495145631068
pcs_minus_dd,0.267235926628716
pcs_minus_dd,0.25245098039215685
pcs_minus_dd,0.09641873278236912
pcs_minus_dd,0.38476190476190475
pcs_minus_dd,0.11084905660377364
pcs_minus_dd,-0.012482662968099856
pcs_minus_dd,0.593619972260749
pcs_minus_dd,0.15094339622641506
pcs_minus_dd,0.5343137254901961
pcs_minus_dd,0.1389999999999999
pcs_minus_dd,0.23363095238095233
pcs_minus_dd,0.2555803571428572
pcs_minus_dd,0.12212529738302935
pcs_minus_dd,0.1755000000000001
pcs_minus_dd,0.1705963938973648
pcs_minus_dd,-0.04840686274509809
pcs_minus_dd,0.13084112149532712
pcs_minus_dd,0.19457547169811318
pcs_minus_dd,0.2532051282051282
pcs_minus_dd,0.37867647058823534
pcs_minus_dd,0.0596393897364772
pcs_minus_dd,0.5769764216366158
pcs_minus_dd,0.1489999999999999
pcs_minus_dd,0.27121332275971455
pcs_minus_dd,0.259
pcs_minus_dd,0.2598714416896235
pcs_minus_dd,0.420343137254902
pcs_minus_dd,0.36029411764705876
pcs_minus_dd,0.2230392156862745
pcs_minus_dd,0.09200000000000008
pcs_minus_dd,0.0809968847352025
pcs_minus_dd,0.30637254901960786
pcs_minus_dd,0.0064102564102563875
pcs_minus_dd,0.5771428571428572
pcs_minus_dd,0.14262820512820518
pcs_minus_dd,0.27548209366391185
pcs_minus_dd,0.13861386138613863
pcs_minus_dd,0.08673469387755106
pcs_minus_dd,0.1917892156862746
pcs_minus_dd,-0.08085808580858089
pcs_minus_dd,0.23468137254901966
pcs_minus_dd,0.17216981132075482
pcs_minus_dd,0.1925
pcs_minus_dd,-0.03247549019607843
pcs_minus_dd,0.3725490196078431
pcs_minus_dd,0.6076190476190477
pcs_minus_dd,0.03398058252427183
pcs_minus_dd,0.13095238095238093
pcs_minus_dd,-0.20943134535367547
pcs_minus_dd,0.08737864077669899
pcs_minus_dd,0.196078431372549
pcs_minus_dd,0.21323529411764708
pcs_minus_dd,0.5091827364554637
pcs_minus_dd,0.3105
pcs_minus_dd,0.21099999999999997
pcs_minus_dd,0.0680272108843537
pcs_minus_dd,-0.050999999999999934
pcs_minus_dd,0.3998397435897436
pcs_minus_dd,-0.10666666666666669
pcs_minus_dd,-0.04227941176470584
pcs_minus_dd,0.5981308411214953
pcs_minus_dd,0.09191176470588236
pcs_minus_dd,0.04299583911234395
pcs_minus_dd,0.14600000000000002
pcs_minus_dd,0.10561056105610567
pcs_minus_dd,0.17467948717948711
pcs_minus_dd,0.554
pcs_minus_dd,0.303030303030303
pcs_minus_dd,0.3088818398096749
pcs_minus_dd,0.3267326732673267
pcs_minus_dd,-0.12371134020618557
pcs_minus_dd,0.3466981132075472
pcs_minus_dd,0.30761904761904757
pcs_minus_dd,0.05660377358490576
pcs_minus_dd,-0.020952380952380945
pcs_minus_dd,0.20993589743589747
pcs_minus_dd,0.1322278911564626
pcs_minus_dd,0.5522552255225522
pcs_minus_dd,0.08183079056865461
pcs_minus_dd,0.16049999999999998
pcs_minus_dd,0.13520408163265307
pcs_minus_dd,0.09436274509803921
pcs_minus_dd,0.3582554517133957
pcs_minus_dd,0.26225490196078427
pcs_minus_dd,0.09570957095709565
pcs_minus_dd,0.3085399449035813
pcs_minus_dd,-0.2592592592592593
pcs_minus_dd,0.13661581137309287
pcs_minus_dd,0.1096698113207547
pcs_minus_dd,-0.07720588235294124
pcs_minus_dd,0.08113730929264906
pcs_minus_dd,0.13600317208564638
pcs_minus_dd,0.19871794871794868
pcs_minus_dd,0.5024509803921569
pcs_minus_dd,0.1066176470588236
pcs_minus_dd,-0.02970297029702973
pcs_minus_dd,0.28525641025641024
pcs_minus_dd,0.2842056932966024
pcs_minus_dd,0.2178217821782178
pcs_minus_dd,0.36798679867986805
pcs_minus_dd,0.09090909090909094
pcs_minus_dd,0.38833883388338836
pcs_minus_dd,0.0873786407766991
pcs_minus_dd,0.4903846153846154
pcs_minus_dd,-0.013333333333333308
pcs_minus_dd,0.47295423023578365
pcs_minus_dd,0.28273809523809523
pcs_minus_dd,0.09294871794871795
pcs_minus_dd,0.31957547169811323
pcs_minus_dd,0.133578431372549
pcs_minus_dd,0.3460884353741496
pcs_minus_dd,0.23817381738173826
pcs_minus_dd,-0.08092948717948723
pcs_minus_dd,0.24
pcs_minus_dd,0.30952380952380953
pcs_minus_dd,0.8287037037037036
pcs_minus_dd,0.08360836083608358
pcs_minus_dd,0.21226415094339623
pcs_minus_dd,0.08113730929264906
pcs_minus_dd,0.5824829931972788
pcs_minus_dd,0.3966712898751733
pcs_minus_dd,0.15476190476190477
pcs_minus_dd,0.25142857142857145
pcs_minus_dd,0.3675450762829403
pcs_minus_dd,0.33428571428571424
pcs_minus_dd,0.32453245324532454
pcs_minus_dd,-0.013621794871794934
pcs_minus_dd,-0.047169811320754707
pcs_minus_dd,-0.3981481481481482
pcs_minus_dd,-0.04006410256410253
pcs_minus_dd,0.2533333333333334
pcs_minus_dd,0.48624862486248627
pcs_minus_dd,0.04912764003673098
pcs_minus_dd,0.020000000000000018
pcs_minus_dd,0.22038567493112948
pcs_minus_dd,0.332871012482663
pcs_minus_dd,0.09431345353675447
pcs_minus_dd,0.11050000000000004
pcs_minus_dd,0.05049999999999999
pcs_minus_dd,0.19191919191919193
pcs_minus_dd,0.2144607843137254
pcs_minus_dd,0.33012820512820507
pcs_minus_dd,-0.06930693069306926
pcs_minus_dd,-0.25688073394495414
pcs_minus_dd,0.18811881188118817
pcs_minus_dd,0.32780612244897955
pcs_minus_dd,0.27832783278327833
pcs_minus_dd,0.08529819694868235
pcs_minus_dd,-0.13301282051282048
pcs_minus_dd,-0.23987538940809972
pcs_minus_dd,0.13176144244105403
pcs_minus_dd,0.26605868358445683
pcs_minus_dd,0.29166666666666674
pcs_minus_dd,0.3542857142857143
pcs_minus_dd,0.023578363384188727
pcs_minus_dd,-0.030660377358490587
pcs_minus_dd,0.08210784313725483
pcs_minus_dd,0.46285714285714286
pcs_minus_dd,0.09968847352024923
pcs_minus_dd,0.3638095238095238
pcs_minus_dd,0.20249653259361988
pcs_minus_dd,-0.04672897196261683
pcs_minus_dd,0.438301282051282
pcs_minus_dd,0.15809523809523807
pcs_minus_dd,0.39899999999999997
pcs_minus_dd,0.15500000000000003
pcs_minus_dd,0.3664215686274509
pcs_minus_dd,0.07150715071507152
pcs_minus_dd,0.2809917355371901
pcs_minus_dd,0.3272058823529412
pcs_minus_dd,0.12095238095238092
pcs_minus_dd,-0.011019283746556474
pcs_minus_dd,0.29166666666666663
pcs_minus_dd,0.3314285714285714
